Region,Year,Total_Births
1,1968,20095
1,1969,19703
1,1970,21113
1,1971,22834
1,1972,22316
1,1973,21235
1,1974,20778
1,1975,19292
1,1976,18695
1,1977,18055
1,1978,17761
1,1979,18702
1,1980,19380
1,1981,18287
1,1982,18067
1,1983,17750
1,1984,18565
1,1985,19487
1,1986,20820
1,1987,21642
1,1988,23217
1,1989,23935
1,1990,25322
1,1991,24986
1,1992,25546
1,1993,24827
1,1994,24398
1,1995,22626
1,1996,21354
1,1997,20646
1,1998,20815
1,1999,20863
1,2000,21837
1,2001,22622
1,2002,24084
1,2003,25028
1,2004,25779
1,2005,25836
1,2006,26983
1,2007,27421
1,2008,27948
1,2009,28570
1,2010,29619
1,2011,28650
1,2012,28932
1,2013,29613
1,2014,29496
1,2015,29381
1,2016,29457
1,2017,28805
1,2018,28706
1,2019,28409
1,2020,28466
1,2021,29067
1,2022,26356
1,2023,25781
3,1968,3559
3,1969,3458
3,1970,3502
3,1971,3805
3,1972,3670
3,1973,3599
3,1974,3631
3,1975,3376
3,1976,3137
3,1977,3065
3,1978,2981
3,1979,3147
3,1980,3287
3,1981,3097
3,1982,3015
3,1983,3073
3,1984,3070
3,1985,3426
3,1986,3509
3,1987,3619
3,1988,3770
3,1989,4021
3,1990,4206
3,1991,4311
3,1992,4209
3,1993,4094
3,1994,4076
3,1995,3681
3,1996,3252
3,1997,3123
3,1998,3091
3,1999,2919
3,2000,3078
3,2001,3180
3,2002,3322
3,2003,3450
3,2004,3625
3,2005,3497
3,2006,3679
3,2007,3825
3,2008,4069
3,2009,3965
3,2010,4141
3,2011,3999
3,2012,4124
3,2013,3931
3,2014,3997
3,2015,4167
3,2016,4274
3,2017,4149
3,2018,4231
3,2019,4278
3,2020,4142
3,2021,4261
3,2022,3991
3,2023,3816
4,1968,3615
4,1969,3376
4,1970,3246
4,1971,3478
4,1972,3344
4,1973,3307
4,1974,3385
4,1975,3075
4,1976,2819
4,1977,2775
4,1978,2788
