Region_Code;Region_Name;Age;Year;Total_Migrations
1;Stockholms Län;0;1997;287
1;Stockholms Län;0;1998;366
1;Stockholms Län;0;1999;333
1;Stockholms Län;0;2000;388
1;Stockholms Län;0;2001;346
1;Stockholms Län;0;2002;385
1;Stockholms Län;0;2003;337
1;Stockholms Län;0;2004;383
1;Stockholms Län;0;2005;406
1;Stockholms Län;0;2006;473
1;Stockholms Län;0;2007;426
1;Stockholms Län;0;2008;397
1;Stockholms Län;0;2009;418
1;Stockholms Län;0;2010;437
1;Stockholms Län;0;2011;402
1;Stockholms Län;0;2012;463
1;Stockholms Län;0;2013;467
1;Stockholms Län;0;2014;576
1;Stockholms Län;0;2015;591
1;Stockholms Län;0;2016;656
1;Stockholms Län;0;2017;695
1;Stockholms Län;0;2018;652
1;Stockholms Län;0;2019;576
1;Stockholms Län;0;2020;482
1;Stockholms Län;0;2021;448
1;Stockholms Län;0;2022;463
1;Stockholms Län;0;2023;482
1;Stockholms Län;1;1997;699
1;Stockholms Län;1;1998;674
1;Stockholms Län;1;1999;677
1;Stockholms Län;1;2000;697
1;Stockholms Län;1;2001;753
1;Stockholms Län;1;2002;702
1;Stockholms Län;1;2003;735
1;Stockholms Län;1;2004;808
1;Stockholms Län;1;2005;815
1;Stockholms Län;1;2006;924
1;Stockholms Län;1;2007;909
1;Stockholms Län;1;2008;983
1;Stockholms Län;1;2009;908
1;Stockholms Län;1;2010;956
1;Stockholms Län;1;2011;1018
1;Stockholms Län;1;2012;913
1;Stockholms Län;1;2013;937
1;Stockholms Län;1;2014;920
1;Stockholms Län;1;2015;1054
1;Stockholms Län;1;2016;1132
1;Stockholms Län;1;2017;1342
1;Stockholms Län;1;2018;1329
1;Stockholms Län;1;2019;1200
1;Stockholms Län;1;2020;962
1;Stockholms Län;1;2021;1011
1;Stockholms Län;1;2022;1042
1;Stockholms Län;1;2023;905
1;Stockholms Län;2;1997;615
1;Stockholms Län;2;1998;595
1;Stockholms Län;2;1999;551
1;Stockholms Län;2;2000;574
1;Stockholms Län;2;2001;532
1;Stockholms Län;2;2002;494
1;Stockholms Län;2;2003;488
1;Stockholms Län;2;2004;548
1;Stockholms Län;2;2005;615
1;Stockholms Län;2;2006;708
1;Stockholms Län;2;2007;763
1;Stockholms Län;2;2008;747
1;Stockholms Län;2;2009;790
1;Stockholms Län;2;2010;836
1;Stockholms Län;2;2011;910
1;Stockholms Län;2;2012;858
1;Stockholms Län;2;2013;857
1;Stockholms Län;2;2014;848
1;Stockholms Län;2;2015;865
1;Stockholms Län;2;2016;890
1;Stockholms Län;2;2017;1062
1;Stockholms Län;2;2018;1079
1;Stockholms Län;2;2019;969
1;Stockholms Län;2;2020;765
1;Stockholms Län;2;2021;912
1;Stockholms Län;2;2022;892
1;Stockholms Län;2;2023;731
1;Stockholms Län;3;1997;597
1;Stockholms Län;3;1998;538
1;Stockholms Län;3;1999;562
1;Stockholms Län;3;2000;493
1;Stockholms Län;3;2001;475
1;Stockholms Län;3;2002;444
1;Stockholms Län;3;2003;440
1;Stockholms Län;3;2004;400
1;Stockholms Län;3;2005;455
1;Stockholms Län;3;2006;620
1;Stockholms Län;3;2007;660
1;Stockholms Län;3;2008;692
1;Stockholms Län;3;2009;670
1;Stockholms Län;3;2010;653
1;Stockholms Län;3;2011;756
1;Stockholms Län;3;2012;737
1;Stockholms Län;3;2013;824
1;Stockholms Län;3;2014;739
1;Stockholms Län;3;2015;809
1;Stockholms Län;3;2016;833
1;Stockholms Län;3;2017;1060
1;Stockholms Län;3;2018;968
1;Stockholms Län;3;2019;890
1;Stockholms Län;3;2020;679
1;Stockholms Län;3;2021;747
1;Stockholms Län;3;2022;832
1;Stockholms Län;3;2023;724
1;Stockholms Län;4;1997;555
1;Stockholms Län;4;1998;546
1;Stockholms Län;4;1999;477
1;Stockholms Län;4;2000;505
1;Stockholms Län;4;2001;483
1;Stockholms Län;4;2002;453
1;Stockholms Län;4;2003;424
1;Stockholms Län;4;2004;423
1;Stockholms Län;4;2005;411
1;Stockholms Län;4;2006;547
1;Stockholms Län;4;2007;576
1;Stockholms Län;4;2008;614
1;Stockholms Län;4;2009;534
1;Stockholms Län;4;2010;631
1;Stockholms Län;4;2011;681
