Region,Age,Year,Total_Deaths
01,0,2000,65
01,0,2001,57
01,0,2002,62
01,0,2003,63
01,0,2004,58
01,0,2005,55
01,0,2006,68
01,0,2007,57
01,0,2008,61
01,0,2009,49
01,0,2010,58
01,0,2011,38
01,0,2012,58
01,0,2013,60
01,0,2014,37
01,0,2015,58
01,0,2016,48
01,0,2017,55
01,0,2018,53
01,0,2019,33
01,0,2020,57
01,0,2021,38
01,0,2022,55
01,0,2023,35
01,1,2000,12
01,1,2001,15
01,1,2002,11
01,1,2003,7
01,1,2004,13
01,1,2005,14
01,1,2006,9
01,1,2007,8
01,1,2008,10
01,1,2009,11
01,1,2010,6
01,1,2011,13
01,1,2012,9
01,1,2013,15
01,1,2014,8
01,1,2015,8
01,1,2016,13
01,1,2017,7
01,1,2018,10
01,1,2019,10
01,1,2020,9
01,1,2021,11
01,1,2022,8
01,1,2023,6
01,2,2000,2
01,2,2001,2
01,2,2002,5
01,2,2003,2
01,2,2004,1
01,2,2005,6
01,2,2006,4
01,2,2007,8
01,2,2008,2
01,2,2009,7
01,2,2010,6
01,2,2011,4
01,2,2012,2
01,2,2013,3
01,2,2014,7
01,2,2015,7
01,2,2016,5
01,2,2017,6
01,2,2018,7
01,2,2019,3
01,2,2020,3
01,2,2021,2
01,2,2022,2
01,2,2023,2
01,3,2000,4
01,3,2001,4
01,3,2002,7
01,3,2003,5
01,3,2004,5
01,3,2005,4
01,3,2006,5
01,3,2007,3
01,3,2008,4
01,3,2009,7
01,3,2010,3
01,3,2011,0
01,3,2012,3
01,3,2013,4
01,3,2014,0
01,3,2015,4
01,3,2016,1
01,3,2017,3
01,3,2018,5
01,3,2019,2
01,3,2020,3
01,3,2021,3
01,3,2022,2
01,3,2023,1
01,4,2000,2
01,4,2001,0
01,4,2002,2
01,4,2003,1
01,4,2004,1
01,4,2005,2
01,4,2006,4
01,4,2007,2
01,4,2008,3
01,4,2009,2
01,4,2010,1
01,4,2011,3
01,4,2012,3
01,4,2013,4
01,4,2014,3
01,4,2015,1
01,4,2016,1
01,4,2017,2
01,4,2018,3
01,4,2019,3
01,4,2020,2
01,4,2021,0
01,4,2022,3
01,4,2023,1
01,5,2000,3
01,5,2001,5
01,5,2002,3
01,5,2003,1
01,5,2004,1
01,5,2005,2
01,5,2006,2
01,5,2007,4
01,5,2008,0
01,5,2009,3
01,5,2010,1
01,5,2011,4
01,5,2012,2
01,5,2013,4
01,5,2014,2
01,5,2015,2
01,5,2016,1
01,5,2017,3
01,5,2018,4
01,5,2019,1
01,5,2020,2
01,5,2021,7
01,5,2022,3
01,5,2023,2
01,6,2000,4
01,6,2001,4
01,6,2002,0
01,6,2003,2
01,6,2004,4
01,6,2005,3
01,6,2006,2
01,6,2007,4
01,6,2008,1
01,6,2009,2
01,6,2010,1
01,6,2011,1
01,6,2012,1
01,6,2013,3
01,6,2014,5
01,6,2015,2
01,6,2016,7
01,6,2017,2
01,6,2018,1
01,6,2019,3
01,6,2020,1
01,6,2021,1
01,6,2022,2
01,6,2023,1
01,7,2000,2
01,7,2001,3
01,7,2002,1
01,7,2003,4
01,7,2004,1
01,7,2005,0
01,7,2006,3
01,7,2007,0
01,7,2008,0
01,7,2009,3
01,7,2010,1
01,7,2011,1
01,7,2012,2
01,7,2013,2
01,7,2014,0
01,7,2015,2
01,7,2016,6
01,7,2017,3
01,7,2018,1
01,7,2019,2
01,7,2020,2
01,7,2021,1
01,7,2022,0
01,7,2023,1
01,8,2000,1
01,8,2001,3
01,8,2002,1
01,8,2003,1
01,8,2004,2
01,8,2005,0
01,8,2006,0
01,8,2007,1
01,8,2008,2
01,8,2009,3
01,8,2010,2
01,8,2011,2
01,8,2012,1
01,8,2013,0
01,8,2014,0
01,8,2015,2
01,8,2016,2
01,8,2017,2
01,8,2018,2
01,8,2019,0
01,8,2020,5
01,8,2021,3
01,8,2022,2
01,8,2023,1
01,9,2000,4
01,9,2001,2
01,9,2002,0
01,9,2003,0
01,9,2004,2
01,9,2005,1
01,9,2006,3
01,9,2007,2
01,9,2008,1
01,9,2009,1
01,9,2010,1
01,9,2011,1
01,9,2012,0
01,9,2013,1
01,9,2014,2
01,9,2015,1
01,9,2016,2
01,9,2017,0
01,9,2018,1
01,9,2019,0
01,9,2020,3
01,9,2021,5
01,9,2022,3
01,9,2023,3
01,10,2000,3
01,10,2001,2
01,10,2002,2
01,10,2003,3
01,10,2004,0
01,10,2005,0
01,10,2006,0
01,10,2007,3
01,10,2008,2
01,10,2009,2
01,10,2010,1
01,10,2011,2
01,10,2012,2
01,10,2013,3
01,10,2014,0
01,10,2015,1
01,10,2016,1
01,10,2017,1
01,10,2018,0
01,10,2019,0
01,10,2020,2
01,10,2021,2
01,10,2022,2
01,10,2023,1
01,11,2000,2
01,11,2001,1
01,11,2002,3
01,11,2003,1
01,11,2004,5
01,11,2005,0
01,11,2006,1
01,11,2007,1
01,11,2008,2
01,11,2009,1
01,11,2010,0
01,11,2011,5
01,11,2012,2
01,11,2013,1
01,11,2014,2
01,11,2015,1
01,11,2016,1
01,11,2017,3
01,11,2018,5
01,11,2019,1
01,11,2020,2
01,11,2021,2
01,11,2022,1
01,11,2023,4
01,12,2000,0
01,12,2001,2
01,12,2002,2
01,12,2003,1
01,12,2004,0
01,12,2005,3
01,12,2006,1
01,12,2007,3
01,12,2008,2
01,12,2009,2
01,12,2010,3
01,12,2011,2
01,12,2012,1
01,12,2013,2
01,12,2014,1
