Region,Age,Year,Total_Population
01,17,1968,17725
01,17,1969,18325
01,17,1970,18404
01,17,1971,17493
01,17,1972,17830
01,17,1973,18242
01,17,1974,18218
01,17,1975,17944
01,17,1976,17795
01,17,1977,17805
01,17,1978,18614
01,17,1979,19096
01,17,1980,20029
01,17,1981,22013
01,17,1982,21175
01,17,1983,21025
01,17,1984,20668
01,17,1985,19091
01,17,1986,18461
01,17,1987,19457
01,17,1988,20787
01,17,1989,20403
01,17,1990,19787
01,17,1991,19830
01,17,1992,18451
01,17,1993,17932
01,17,1994,17515
01,17,1995,17187
01,17,1996,18126
01,17,1997,19108
01,17,1998,18401
01,17,1999,18380
01,17,2000,18176
01,17,2001,18834
01,17,2002,19625
01,17,2003,20578
01,17,2004,21264
01,17,2005,22837
01,17,2006,23808
01,17,2007,25625
01,17,2008,25458
01,17,2009,26096
01,17,2010,25633
01,17,2011,25478
01,17,2012,23855
01,17,2013,22930
01,17,2014,22298
01,17,2015,22691
01,17,2016,22822
01,17,2017,24203
01,17,2018,24662
01,17,2019,26004
01,17,2020,26846
01,17,2021,27808
01,17,2022,28052
01,17,2023,29114
01,18,1968,19053
01,18,1969,18711
01,18,1970,19214
01,18,1971,18798
01,18,1972,17801
01,18,1973,18160
01,18,1974,18599
01,18,1975,18694
01,18,1976,18386
01,18,1977,18361
01,18,1978,18248
01,18,1979,19035
01,18,1980,19673
01,18,1981,20589
01,18,1982,22475
01,18,1983,21576
01,18,1984,21374
01,18,1985,21174
01,18,1986,19552
01,18,1987,18885
01,18,1988,19823
01,18,1989,21095
01,18,1990,20719
01,18,1991,19955
01,18,1992,20053
01,18,1993,18684
01,18,1994,18183
01,18,1995,17666
01,18,1996,17375
01,18,1997,18290
01,18,1998,19339
01,18,1999,18612
01,18,2000,18569
01,18,2001,18359
01,18,2002,19015
01,18,2003,19772
01,18,2004,20720
01,18,2005,21432
01,18,2006,23078
01,18,2007,24162
01,18,2008,25922
01,18,2009,25798
01,18,2010,26484
01,18,2011,25990
01,18,2012,25842
01,18,2013,24259
01,18,2014,23260
01,18,2015,22716
01,18,2016,23232
01,18,2017,23880
01,18,2018,24722
01,18,2019,24996
01,18,2020,26184
01,18,2021,27092
01,18,2022,28078
01,18,2023,28277
01,19,1968,21139
01,19,1969,20354
01,19,1970,20059
01,19,1971,19846
01,19,1972,19272
01,19,1973,18271
01,19,1974,18820
01,19,1975,19360
01,19,1976,19440
01,19,1977,19364
01,19,1978,19189
01,19,1979,19042
01,19,1980,19985
01,19,1981,20747
01,19,1982,21360
01,19,1983,23332
01,19,1984,22427
01,19,1985,22522
01,19,1986,22168
01,19,1987,20315
01,19,1988,19636
01,19,1989,20592
01,19,1990,21751
01,19,1991,21286
01,19,1992,20275
01,19,1993,20403
01,19,1994,19187
01,19,1995,18577
01,19,1996,18041
01,19,1997,17810
01,19,1998,18790
01,19,1999,19916
01,19,2000,19077
01,19,2001,19076
01,19,2002,18746
01,19,2003,19304
01,19,2004,20105
01,19,2005,21055
01,19,2006,21918
01,19,2007,23561
01,19,2008,24528
01,19,2009,26314
01,19,2010,26170
01,19,2011,26725
01,19,2012,26248
01,19,2013,26151
01,19,2014,24529
01,19,2015,23551
01,19,2016,23013
01,19,2017,23563
01,19,2018,24653
01,19,2019,24971
01,19,2020,24692
01,19,2021,25959
01,19,2022,26983
01,19,2023,27971
03,17,1968,2685
03,17,1969,2797
03,17,1970,2770
03,17,1971,2687
03,17,1972,2786
03,17,1973,2893
03,17,1974,2795
03,17,1975,2768
03,17,1976,2851
03,17,1977,2765
03,17,1978,2940
03,17,1979,3066
03,17,1980,3272
03,17,1981,3687
03,17,1982,3678
03,17,1983,3584
03,17,1984,3657
03,17,1985,3528
03,17,1986,3392
03,17,1987,3476
03,17,1988,3732
03,17,1989,3697
03,17,1990,3657
03,17,1991,3676
03,17,1992,3568
03,17,1993,3420
03,17,1994,3280
03,17,1995,3140
03,17,1996,3395
03,17,1997,3534
03,17,1998,3310
03,17,1999,3367
03,17,2000,3436
03,17,2001,3384
03,17,2002,3783
03,17,2003,3852
03,17,2004,3914
03,17,2005,4071
03,17,2006,4555
03,17,2007,4696
03,17,2008,4775
03,17,2009,4668
03,17,2010,4379
03,17,2011,4486
03,17,2012,4141
03,17,2013,3766
03,17,2014,3650
03,17,2015,3677
03,17,2016,3654
03,17,2017,3850
03,17,2018,4017
03,17,2019,4190
03,17,2020,4272
03,17,2021,4501
03,17,2022,4451
03,17,2023,4607
03,18,1968,2913
03,18,1969,2804
03,18,1970,2905
03,18,1971,2808
03,18,1972,2724
03,18,1973,2804
03,18,1974,2927
03,18,1975,2828
03,18,1976,2809
03,18,1977,2875
03,18,1978,2787
03,18,1979,2968
03,18,1980,3086
03,18,1981,3268
03,18,1982,3699
03,18,1983,3678
03,18,1984,3595
03,18,1985,3687
03,18,1986,3524
03,18,1987,3393
03,18,1988,3469
03,18,1989,3756
03,18,1990,3727
03,18,1991,3667
03,18,1992,3714
03,18,1993,3606
03,18,1994,3431
03,18,1995,3284
03,18,1996,3147
03,18,1997,3397
03,18,1998,3563
03,18,1999,3329
03,18,2000,3392
03,18,2001,3446
03,18,2002,3405
03,18,2003,3776
03,18,2004,3846
03,18,2005,3924
03,18,2006,4335
03,18,2007,4572
03,18,2008,4745
03,18,2009,4834
03,18,2010,4710
03,18,2011,4430
03,18,2012,4486
03,18,2013,4167
03,18,2014,3848
03,18,2015,3751
03,18,2016,3825
03,18,2017,3870
03,18,2018,3956
03,18,2019,4066
03,18,2020,4257
03,18,2021,4344
03,18,2022,4571
03,18,2023,4501
03,19,1968,3161
03,19,1969,3121
03,19,1970,3003
03,19,1971,3002
03,19,1972,2877
03,19,1973,2787
03,19,1974,2891
03,19,1975,2997
03,19,1976,2932
03,19,1977,2877
03,19,1978,2979
03,19,1979,2874
03,19,1980,3031
03,19,1981,3121
03,19,1982,3304
03,19,1983,3707
03,19,1984,3691
03,19,1985,3627
03,19,1986,3702
03,19,1987,3556
03,19,1988,3458
03,19,1989,3549
03,19,1990,3816
03,19,1991,3782
03,19,1992,3805
03,19,1993,3962
03,19,1994,3815
03,19,1995,3648
03,19,1996,3468
03,19,1997,3332
03,19,1998,3591
03,19,1999,3721
03,19,2000,3485
03,19,2001,3500
03,19,2002,3511
03,19,2003,3521
03,19,2004,3919
03,19,2005,4028
03,19,2006,4266
03,19,2007,4521
03,19,2008,4810
03,19,2009,4987
03,19,2010,5044
03,19,2011,4957
03,19,2012,4659
03,19,2013,4685
03,19,2014,4402
03,19,2015,4086
03,19,2016,4027
03,19,2017,4116
03,19,2018,4273
03,19,2019,4372
03,19,2020,4412
03,19,2021,4645
03,19,2022,4746
03,19,2023,4911
04,17,1968,3397
04,17,1969,3558
04,17,1970,3520
04,17,1971,3331
04,17,1972,3444
04,17,1973,3461
04,17,1974,3436
